text,class,processed_tokens
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",ham,"[""'m"", 'gon', 'na', 'home', 'soon', ""n't"", 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', ""'ve"", 'cri', 'enough', 'today']"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,"['six', 'chanc', 'win', 'cash', '20,000', 'pound', 'txt', 'csh11', 'send', 'cost', '150p/day', '6day', '16+', 'tsandc', 'appli', 'repli', 'hl', 'info']"
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,"['urgent', 'week', 'free', 'membership', 'å£100,000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'c', 'www.dbuk.net', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,"[""'ve"", 'search', 'right', 'word', 'thank', 'breather', 'promi', 'wont', 'take', 'help', 'grant', 'fulfil', 'promi', 'wonder', 'bless', 'time']"
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,"['date', 'sunday']"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'http', '//wap', 'xxxmobilemovieclub.com', 'n=qjkgighjjgcbl']"
Oh k...i'm watching here:),ham,"['oh', 'k', '...', ""'m"", 'watch']"
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,"['eh', 'u', 'rememb', 'spell', 'name', '...', 'ye', 'v', 'naughti', 'make', 'v', 'wet']"
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,ham,"['fine', 'thatåõ', 'way', 'u', 'feel', 'thatåõ', 'way', 'gota', 'b']"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam,"['england', 'v', 'macedonia', 'dont', 'miss', 'goals/team', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'england', 'tri', 'wale', 'scotland', '4txt/ì¼1.20', 'poboxox36504w45wq', '16+']"
Is that seriously how you spell his name?,ham,"['seriou', 'spell', 'name']"
IÛ÷m going to try for 2 months ha ha only joking,ham,"['i\x89û÷m', 'go', 'tri', 'month', 'ha', 'ha', 'joke']"
So Ì_ pay first lar... Then when is da stock comin...,ham,"['ì_', 'pay', 'first', 'lar', '...', 'da', 'stock', 'comin', '...']"
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']"
Ffffffffff. Alright no way I can meet up with you sooner?,ham,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,"['forc', 'eat', 'slice', ""'m"", 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', ""'m"", 'sick', 'turn', 'pizza', 'lol']"
Lol your always so convincing.,ham,"['lol', 'alway', 'convinc']"
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,"['catch', 'bu', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', ""'s"", 'left', 'dinner', 'feel', 'love']"
"I'm back &amp; we're packing the car now, I'll let you know if there's room",ham,"[""'m"", 'back', 'amp', ""'re"", 'pack', 'car', ""'ll"", 'let', 'know', ""'s"", 'room']"
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,"['ahhh', 'work', 'vagu', 'rememb', 'feel', 'like', 'lol']"
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,"['wait', ""'s"", 'still', 'clear', 'sure', 'sarcast', ""'s"", 'x', ""n't"", 'want', 'live', 'u']"
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham,"['yeah', 'got', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', 'wo', ""n't"", 'go', 'badli', 'cheer']"
K tell me anything about you.,ham,"['k', 'tell', 'anyth']"
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,"['fear', 'faint', 'housework', 'quick', 'cuppa']"
Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', 'å£5/month', 'plea', 'confirm', 'repli', 'ye', 'repli', 'charg']"
Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,"['yup', '...', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ì_', '...', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']"
"Oops, I'll let you know when my roommate's done",ham,"['oop', ""'ll"", 'let', 'know', 'roommat', ""'s"", 'done']"
I see the letter B on my car,ham,"['see', 'letter', 'b', 'car']"
Anything lor... U decide...,ham,"['anyth', 'lor', '...', 'u', 'decid', '...']"
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,"['hello', ""'s"", 'saturday', 'go', 'text', 'see', ""'d"", 'decid', 'anyth', 'tomo', ""'m"", 'tri', 'invit', 'anyth']"
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,"['pl', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']"
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,"['forget', 'tell', 'want', 'need', 'crave', '...', '...', 'love', 'sweet', 'arabian', 'steed', '...', 'mmmmmm', '...', 'yummi']"
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,"['rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sm', 'free', 'nokia', 'mobil', 'free', 'camcord', 'plea', 'call', 'deliveri', 'tomorrow']"
WHO ARE YOU SEEING?,ham,['see']
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,"['great', 'hope', 'like', 'man', 'well', 'endow', 'lt', 'gt', 'inch', '...']"
No calls..messages..missed calls,ham,"['call', '..', 'messag', '..', 'miss', 'call']"
Didn't you get hep b immunisation in nigeria.,ham,"[""n't"", 'get', 'hep', 'b', 'immuni', 'nigeria']"
"Fair enough, anything going on?",ham,"['fair', 'enough', 'anyth', 'go']"
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,"['yeah', 'hope', 'tyler', 'ca', ""n't"", 'could', 'mayb', 'ask', 'around', 'bit']"
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,"['u', ""n't"", 'know', 'stubborn', ""n't"", 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', ""'m"", 'weak', 'sucker', 'hospit', 'weak', 'sucker']"
What you thinked about me. First time you saw me in class.,ham,"['think', 'first', 'time', 'saw', 'class']"
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,"['gram', 'usual', 'run', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']"
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', ""'s"", 'crash', 'place', 'tonight']"
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",ham,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', '\\the', 'cave\\', ""''"", ""'m"", 'sorri', ""n't"", ""n't"", 'give', ""'m"", 'sorri', 'offer', ""'m"", 'sorri', 'room', 'embarass', ""''""]"
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,"['sm', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']"
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,ham,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lt', 'url', 'gt']"
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam,"['congrat', 'year', 'special', 'cinema', 'pas', 'call', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', 'free', 'bx420-ip4-5w', '150pm', 'dont', 'miss']"
"Sorry, I'll call later in meeting.",ham,"['sorri', ""'ll"", 'call', 'later', 'meet']"
Tell where you reached,ham,"['tell', 'reach']"
Yes..gauti and sehwag out of odi series.,ham,"['ye', '..', 'gauti', 'sehwag', 'odi', 'seri']"
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,"['gon', 'na', 'pick', 'burger', 'way', 'home', 'ca', ""n't"", 'even', 'move', 'pain', 'kill']"
Ha ha ha good joke. Girls are situation seekers.,ham,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']"
Its a part of checking IQ,ham,"['part', 'check', 'iq']"
"Sorry my roommates took forever, it ok if I come by now?",ham,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']"
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",spam,"['valu', 'custom', 'plea', 'advi', 'follow', 'recent', 'review', 'mob', 'award', 'å£1500', 'bonu', 'prize', 'call']"
"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",ham,"['today', '\\song', 'dedic', 'day', '..', ""''"", 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnd', 'first', 'rpli', '...', ""''""]"
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'aco', 'entry41', 'å£1000', 'claim', 'txt', 'di', '18+6', 'å£1.50', 'morefrmmob', 'shracomorsglsuplt', 'ls1', '3aj']"
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam,"['hear', 'new', '\\divorc', 'barbie\\', ""''"", 'come', 'ken', ""'s"", 'stuff', ""''""]"
I plane to give on this month end.,ham,"['plane', 'give', 'month', 'end']"
Wah lucky man... Then can save money... Hee...,ham,"['wah', 'lucki', 'man', '...', 'save', 'money', '...', 'hee', '...']"
Finished class where are you.,ham,"['finish', 'class']"
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,"['hi', 'babe', 'im', 'home', 'wan', 'na', 'someth', 'xx']"
K..k:)where are you?how did you performed?,ham,"['k', '..', 'k', 'perform']"
U can call me now...,ham,"['u', 'call', '...']"
I am waiting machan. Call me once you free.,ham,"['wait', 'machan', 'call', 'free']"
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,"['cool', 'gentleman', 'treat', 'digniti', 'respect']"
I like you peoples very much:) but am very shy pa.,ham,"['like', 'peopl', 'much', 'shi', 'pa']"
Does not operate after  &lt;#&gt;  or what,ham,"['oper', 'lt', 'gt']"
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,"['still', 'look', 'job', 'much', 'ta', ""'s"", 'earn']"
"Sorry, I'll call later",ham,"['sorri', ""'ll"", 'call', 'later']"
K. Did you call me just now ah? ,ham,"['k.', 'call', 'ah']"
Ok i am on the way to home hi hi,ham,"['ok', 'way', 'home', 'hi', 'hi']"
You will be in the place of that man,ham,"['place', 'man']"
Yup next stop.,ham,"['yup', 'next', 'stop']"
"I call you later, don't have network. If urgnt, sms me.",ham,"['call', 'later', ""n't"", 'network', 'urgnt', 'sm']"
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,"['real', 'u', 'get', 'yo', 'need', 'ticket', 'one', 'jacket', ""'m"", 'done', 'alreadi', 'use', 'multi']"
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,"['ye', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', ""'m"", 'back', 'bed', 'doubl', 'coin', 'factori', 'got', 'ta', 'cash', 'nitro']"
I'm really not up to it still tonight babe,ham,"[""'m"", 'realli', 'still', 'tonight', 'babe']"
"Ela kano.,il download, come wen ur free..",ham,"['ela', 'kano.', 'il', 'download', 'come', 'wen', 'ur', 'free', '..']"
Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ham,"['yeah', 'don\x89û÷t', 'stand', 'close', 'tho-', 'you\x89û÷ll', 'catch', 'someth']"
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ham,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', ""n't"", 'done', 'stuff42moro', 'includ', 'time', 'sheet', 'sorri']"
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']"
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,spam,"['plea', 'call', 'custom', 'servic', 'repr', '10am-9pm', 'guarant', 'å£1000', 'cash', 'å£5000', 'prize']"
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'got', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']"
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', '\\mix\\', ""''"", 'verifi', 'get', 'usher', 'britney', 'fml']"
Watching telugu movie..wat abt u?,ham,"['watch', 'telugu', 'movi', '..', 'wat', 'abt', 'u']"
i see. When we finish we have loads of loans to pay,ham,"['see', 'finish', 'load', 'loan', 'pay']"
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",ham,"['hi', 'wk', 'ok', 'hol', 'ye', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cau', 'prob', 'u', ""''"", 'ham', ""''""]"
Please don't text me anymore. I have nothing else to say.,ham,"['plea', ""n't"", 'text', 'anymor', 'noth', 'el', 'say']"
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'xx']"
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,"[""'m"", 'still', 'look', 'car', 'buy', 'gone', '4the', 'drive', 'test', 'yet']"
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,"['per', 'request', ""'mell"", 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend', 'callertun']"
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,"['wow', ""'re"", 'right', ""n't"", 'mean', 'guess', 'gave', 'boston', 'men', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']"
Umma my life and vava umma love you lot dear,ham,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,"['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']"
"Aight, I'll hit you up when I get some cash",ham,"['aight', ""'ll"", 'hit', 'get', 'cash']"
How would my ip address test that considering my computer isn't a minecraft server,ham,"['would', 'ip', 'address', 'test', 'consid', 'comput', ""n't"", 'minecraft', 'server']"
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,"['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'one', 'play', 'joke', '...']"
Dont worry. I guess he's busy.,ham,"['dont', 'worri', 'guess', ""'s"", 'busi']"
What is the plural of the noun research?,ham,"['plural', 'noun', 'research']"
Going for dinner.msg you after.,ham,"['go', 'dinner.msg']"
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,"[""'m"", 'ok', 'wif', 'co', 'like', 'tri', 'new', 'thing', 'scare', 'u', 'dun', 'like', 'mah', 'co', 'u', 'said', 'loud']"
GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,"['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'å£1000', 'prize', 'guarant', 'call', 'claim', 'code', 'k52', 'valid', '12hr', '150ppm']"
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,"['wa', 'ur', 'openin', 'sentenc', 'formal', '...', 'anyway', ""'m"", 'fine', 'juz', 'tt', ""'m"", 'eatin', 'much', 'n', 'puttin', 'weight', '...', 'haha', '...', 'anythin', 'special', 'happen']"
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,"['enter', 'cabin', 'pa', 'said', '``', 'happi', ""b'day"", 'bos', ""''"", 'felt', 'special', 'askd', 'lunch', 'lunch', 'invit', 'apart', 'went']"
You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,spam,"['winner', 'u', 'special', 'select', 'receiv', 'å£1000', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', 'claim', '0871277810910p/min', '18+']"
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,ham,"['goodo', 'ye', 'must', 'speak', 'friday', 'egg-potato', 'ratio', 'tortilla', 'need']"
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,"['hmm', '...', 'uncl', 'inform', ""'s"", 'pay', 'school', 'directli', 'pl', 'buy', 'food']"
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,"['privat', 'account', 'statement', 'show', 'unredeem', 'bonu', 'point', 'claim', 'call', 'identifi', 'code', 'expir']"
"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,"['urgent', 'mobil', 'award', 'å£2000', 'bonu', 'caller', 'prize', '5/9/03', 'final', 'tri', 'contact', 'u', 'call', 'landlin', 'box42wr29c', '150ppm']"
here is my new address -apples&pairs&all that malarky,ham,"['new', 'address', '-appl', 'pair', 'malarki']"
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,"['today', 'voda', 'number', 'end', 'select', 'receiv', 'award', 'match', 'plea', 'call', 'quot', 'claim', 'code', 'standard', 'rate', 'app']"
I am going to sao mu today. Will be done only at 12 ,ham,"['go', 'sao', 'mu', 'today', 'done']"
ÌÏ predict wat time Ì_'ll finish buying?,ham,"['ìï', 'predict', 'wat', 'time', 'ì_', ""'ll"", 'finish', 'buy']"
"Good stuff, will do.",ham,"['good', 'stuff']"
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,"['know', 'yetund', ""n't"", 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', ""n't"", 'impo', 'anyth', 'first', 'place', 'apolog']"
Are you there in room.,ham,['room']
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
K..k:)how much does it cost?,ham,"['k', '..', 'k', 'much', 'cost']"
I'm home.,ham,"[""'m"", 'home']"
"Dear, will call Tmorrow.pls accomodate.",ham,"['dear', 'call', 'tmorrow.pl', 'accomod']"
First answer my question.,ham,"['first', 'answer', 'question']"
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,"['sunshin', 'quiz', 'wkli', 'q', 'win', 'top', 'soni', 'dvd', 'player', 'u', 'know', 'countri', 'algarv', 'txt', 'ansr', '82277.', 'å£1.50', 'sp', 'tyron']"
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dog', 'locat', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', ""'s"", 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', 'nt', 'ec2a', '31p.msg', '150p']"
I only haf msn. It's yijue@hotmail.com,ham,"['haf', 'msn', ""'s"", 'yiju', 'hotmail.com']"
He is there. You call and meet him,ham,"['call', 'meet']"
No no. I will check all rooms befor activities,ham,"['check', 'room', 'befor', 'activ']"
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,"[""'ll"", 'rcv', 'msg', 'chat', 'svc', 'free', 'hardcor', 'servic', 'text', 'go', 'u', 'get', 'noth', 'u', 'must', 'age', 'verifi', 'yr', 'network', 'tri']"
Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,ham,"['got', 'c', '...', 'lazi', 'type', '...', 'forgot', 'ì_', 'lect', '...', 'saw', 'pouch', 'like', 'v', 'nice', '...']"
"K, text me when you're on the way",ham,"['k', 'text', ""'re"", 'way']"
"Sir, Waiting for your mail.",ham,"['sir', 'wait', 'mail']"
"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",ham,"['swt', 'thought', '\\nver', 'get', 'tire', 'littl', 'thing', 'lovabl', 'person', '..', ""''"", 'coz', '..', 'somtim', 'littl', 'thing', 'occupi', 'biggest', 'part', 'heart', '..', 'gud', 'ni8', ""''""]"
I know you are. Can you pls open the back?,ham,"['know', 'pl', 'open', 'back']"
Yes see ya not on the dot,ham,"['ye', 'see', 'ya', 'dot']"
Whats the staff name who is taking class for us?,ham,"['staff', 'name', 'take', 'class', 'u']"
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,"['freemsg', ""n't"", 'repli', 'text', ""'m"", 'randi', 'sexi', 'femal', 'live', 'local', 'luv', 'hear', 'u.', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'repli', 'stop', 'end']"
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,"['ummma.wil', 'call', 'check', 'in.our', 'life', 'begin', 'qatar', 'pl', 'pray', 'hard']"
K..i deleted my contact that why?,ham,"['k', '..', 'delet', 'contact']"
Sindu got job in birla soft ..,ham,"['sindu', 'got', 'job', 'birla', 'soft', '..']"
The wine is flowing and i'm i have nevering..,ham,"['wine', 'flow', ""'m"", 'never', '..']"
